from,to,Obs,Exp,PMR,PAR
I11,I25,2149,84.97,25.29,6.39
E14,I25,976,219.18,4.45,2.54
E14,I11,656,58.78,11.16,2.19
F03,I25,950,163.95,5.79,2.15
F03,I10,1039,372.9,2.79,1.83
I25,J44,759,253.17,3,1.7
F03,I11,642,30.47,21.07,1.66
I11,J44,488,43.04,11.34,1.55
E14,I10,900,453.67,1.98,1.49
I25,I48,751,328.76,2.28,1.24
I10,I25,1015,643.72,1.58,1.18
I11,I48,378,34.019999999999996,11.11,1
F03,I48,536,168.15,3.19,0.98
E14,F03,409,91.56,4.47,0.93
F03,J44,363,98.58,3.68,0.76
F17,I11,225,37.68,5.97,0.72
E14,J44,307,123.79,2.48,0.66
I10,J44,544,354.74,1.53,0.63
F03,M81,243,15.08,16.11,0.61
T51,X45,127,5.8,21.9,0.6
E14,I48,328,155.98,2.1,0.55
I25,M81,188,12.88,14.6,0.48
I10,M81,202,37.97,5.32,0.46
T81,Y83,153,32.71,4.68,0.44
I48,J44,355,221.09,1.61,0.43
I11,M81,155,3.8,40.79,0.42
G30,I25,193,45.21,4.27,0.4
F03,R54,173,32.09,5.39,0.36
F03,R26,133,7.81,17.03,0.35
I25,R54,165,27.939999999999998,5.91,0.35
F03,G20,151,37.02,4.08,0.34
G30,I10,215,93.95,2.29,0.33
G30,I11,124,7.949999999999999,15.6,0.33
J44,M81,120,9.06,13.25,0.33
G20,I25,127,26.9,4.72,0.3
E14,E66,95,33.26,2.86,0.28
I11,R54,113,6.38,17.71,0.28
I13,I25,95,7.54,12.6,0.28
E66,I25,88,25.32,3.48,0.27
E66,I11,70,12.57,5.57,0.26
F10,I25,70,7.86,8.91,0.26
I25,I38,99,13.74,7.21,0.26
F10,I10,73,15.32,4.77,0.25
G20,I11,88,3.92,22.45,0.25
I10,R26,97,10.48,9.26,0.25
I25,I64,148,74.09,2,0.24
I48,M81,103,13.47,7.65,0.24
I11,I38,76,4.6499999999999995,16.34,0.22
F10,I11,53,6.47,8.19,0.21
I48,R26,79,4.93,16.02,0.21
T68,X31,68,4.86,13.99,0.21
E14,I51,78,21.02,3.71,0.2
E78,F03,141,71.64,1.97,0.2
E14,I64,101,45.69,2.21,0.19
F03,R53,102,31.85,3.2,0.19
F03,R62,164,96.32000000000001,1.7,0.19
G30,M81,75,4.41,17.01,0.19
I26,I80,79,27.53,2.87,0.19
F03,I64,127,64.98,1.95,0.18
F03,J18,127,63.45,2,0.18
I25,I35,120,58.21,2.06,0.18
I25,R26,67,4.36,15.37,0.18
I25,I26,70,21.19,3.3,0.17
I25,J18,135,80.11,1.69,0.17
I25,J43,62,13.7,4.53,0.17
I25,R53,83,24.76,3.35,0.17
I50,R26,65,5.640000000000001,11.52,0.17
C34,J44,62,18.98,3.27,0.16
F03,I51,77,19.01,4.05,0.16
F03,N39,96,39.29,2.44,0.16
F10,J44,46,10.34,4.45,0.16
G20,I10,104,49.88,2.09,0.16
I11,J18,54,7.94,6.8,0.15
I25,R55,52,3.07,16.94,0.15
E11,I11,53,12.35,4.29,0.14
E14,G30,69,19.03,3.63,0.14
E14,M81,53,3.92,13.52,0.14
F10,X45,29,1.9200000000000002,15.1,0.14
G30,I48,93,41.33,2.25,0.14
I10,R54,111,56.51,1.96,0.14
I11,J43,41,5.08,8.07,0.14
I25,Y83,57,17.38,3.28,0.14
I50,M81,67,14.41,4.65,0.14
J44,R26,49,3.02,16.23,0.14
E14,R26,41,2.48,16.53,0.13
E14,R54,61,14.67,4.16,0.13
F03,I12,97,48.53,2,0.13
F03,Y83,52,5.18,10.04,0.13
F10,T51,28,3.36,8.33,0.13
I10,I26,76,36.910000000000004,2.06,0.13
I10,M89,45,2.85,15.79,0.13
I11,I35,50,4.91,10.18,0.13
I11,R53,49,2.92,16.78,0.13
J44,R54,65,15.5,4.19,0.13
E14,I13,39,6.91,5.64,0.12
E78,I11,49,12.379999999999999,3.96,0.12
F03,M89,44,1.59,27.67,0.12
I10,R55,45,5.24,8.59,0.12
I10,T79,38,1.05,36.19,0.12
I11,K74,30,2.38,12.61,0.12
I48,R54,76,28.25,2.69,0.12
D64,F03,89,48.42,1.84,0.11
F03,I26,50,10.629999999999999,4.7,0.11
F03,R56,53,18.13,2.92,0.11
G20,I48,59,21.81,2.71,0.11
G30,R26,43,2.35,18.3,0.11
I10,Y83,48,15.69,3.06,0.11
I11,I26,31,2.99,10.37,0.11
J95,Y83,32,7.03,4.55,0.11
T84,Y83,37,2.78,13.31,0.11
C34,I11,29,1.77,16.38,0.1
E14,G20,46,13.52,3.4,0.1
E66,I48,44,20.03,2.2,0.1
F03,I35,55,16.36,3.36,0.1
F17,M81,40,8.47,4.72,0.1
G30,J44,61,24.59,2.48,0.1
I10,I35,98,63.23,1.55,0.1
I12,R26,36,1.6500000000000001,21.82,0.1
I25,I51,58,28.41,2.04,0.1
I25,I63,46,15.61,2.95,0.1
I48,R55,38,3.54,10.73,0.1
J96,T79,32,1.62,19.75,0.1
M81,R54,43,3.7399999999999998,11.5,0.1
W00-W19,I11,3728,396.97,9.39,10.19
W00-W19,I25,5840,2581.39,2.26,9.43
W00-W19,F03,4638,1633.84,2.84,7.78
W00-W19,E14,2508,1230.8,2.04,4.24
W00-W19,I48,3143,2160.47,1.45,2.79
W00-W19,J44,2401,1708.71,1.41,2.33
W00-W19,G30,1162,448.49,2.59,1.93
W00-W19,M81,781,100.71,7.75,1.87
W00-W19,F10,404,88.45,4.57,1.33
W00-W19,R54,865,358.23,2.41,1.29
W00-W19,G20,637,229.77,2.77,1.23
W00-W19,R26,438,49.7,8.81,1.16
W00-W19,I10,4407,4029.63,1.09,1.12
W00-W19,I26,461,241.32,1.91,0.78
W00-W19,T79,214,20.95,10.21,0.65
W00-W19,X45,130,5.890000000000001,22.07,0.62
W00-W19,Y83,279,116.01,2.4,0.58
W00-W19,R55,202,23.69,8.53,0.55
W00-W19,I51,455,295.24,1.54,0.51
W00-W19,T51,132,22.91,5.76,0.51
W00-W19,G93,461,329.75,1.4,0.48
W00-W19,I13,183,42.32,4.32,0.45
W00-W19,I38,221,75.83,2.91,0.45
W00-W19,E66,257,160.82,1.6,0.42
W00-W19,R53,464,328.59999999999997,1.41,0.39
W00-W19,C34,220,116.25,1.89,0.38
W00-W19,D68,128,42.51,3.01,0.32
W00-W19,M89,134,55.18,2.43,0.28
W00-W19,R56,239,162.34,1.47,0.27
W00-W19,I80,204,139.71,1.46,0.22
W00-W19,T81,152,90.2,1.69,0.22
W00-W19,X31,71,5.75,12.35,0.22
W00-W19,I35,358,286.68,1.25,0.21
W00-W19,K70,69,25.7,2.68,0.21
W00-W19,T68,73,10.75,6.79,0.21
W00-W19,G31,140,77.62,1.8,0.19
W00-W19,J43,144,89.44,1.61,0.19
W00-W19,D69,121,68.99,1.75,0.18
W00-W19,I64,698,641.24,1.09,0.18
W00-W19,K74,184,142.31,1.29,0.17
W00-W19,R42,62,3.5300000000000002,17.56,0.17
W00-W19,C90,67,29.25,2.29,0.14
W00-W19,D46,98,59.97,1.63,0.13
W00-W19,C92,44,17.73,2.48,0.11
W00-W19,G12,33,6.32,5.22,0.11
W00-W19,J95,35,13.65,2.56,0.11
W00-W19,R52,69,41.05,1.68,0.11
W00-W19,T73,2,0.25,8,0.11
W00-W19,I63,162,165.77,0.98,-0.01
W00-W19,I12,534,590.81,0.9,-0.18
W00-W19,T84,38,89.13,0.43,-0.18
W00-W19,N39,326,448.06,0.73,-0.36
W00-W19,E78,684,813.05,0.84,-0.42
W00-W19,D64,343,534.96,0.64,-0.6
W00-W19,J18,916,1167.16,0.78,-0.81
W00-W19,R62,615,1115.73,0.55,-1.44
W00-W19,E11,429,905.15,0.47,-1.62
W00-W19,I50,1890,3935.44,0.48,-6.52
W00-W19,J96,1322,3655.19,0.36,-8.48
W00-W19,F17,972,3141.57,0.31,-8.63
